,id,host_id,host_response_rate,host_total_listings_count,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,score
33,5021081,25906186,71.0,1.0,f,West Queen Anne,House,Entire home/apt,7,7,3.5,4.0,3.0,222.0,5,75.0,8.0,9.0,8.0,9.0,9.0,8.0,0.5
34,1686930,8916363,100.0,1.0,f,West Queen Anne,Apartment,Entire home/apt,4,1,1.0,2.0,2.0,159.0,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.9610149259999999
35,7680289,40335071,100.0,2.0,f,West Queen Anne,Apartment,Entire home/apt,4,2,1.0,1.0,2.0,125.0,19,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990042746
36,7207641,6544973,50.0,1.0,f,West Queen Anne,House,Entire home/apt,8,6,3.0,3.0,3.0,348.0,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.9789160490000001
37,5062445,21072725,31.0,1.0,f,West Queen Anne,House,Private room,1,1,1.0,1.0,1.0,45.0,7,97.0,9.0,8.0,10.0,10.0,10.0,10.0,0.9549587970000001
38,8925878,40335071,100.0,2.0,f,West Queen Anne,Apartment,Entire home/apt,4,2,1.0,1.0,2.0,150.0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9938610790000001
39,6389657,2052160,100.0,1.0,t,West Queen Anne,Apartment,Entire home/apt,2,1,1.0,0.0,1.0,80.0,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.87651515
40,4218733,21896205,100.0,1.0,f,West Queen Anne,Apartment,Entire home/apt,4,2,1.0,1.0,2.0,110.0,71,90.0,10.0,8.0,10.0,10.0,10.0,9.0,0.5
41,2715623,8242272,100.0,1.0,f,West Queen Anne,House,Entire home/apt,3,2,1.0,1.0,2.0,148.0,9,91.0,9.0,10.0,9.0,9.0,10.0,10.0,0.991773605
42,1392332,2315558,94.88679817905918,1.0,f,West Queen Anne,House,Entire home/apt,4,4,1.5,2.0,2.0,350.0,41,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.969149053
43,7308567,17597607,100.0,1.0,t,West Queen Anne,Apartment,Entire home/apt,3,1,1.5,1.0,2.0,150.0,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
44,6575380,34392395,50.0,1.0,f,West Queen Anne,House,Private room,5,1,1.0,1.0,1.0,150.0,9,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0.981866241
45,6004058,9031463,50.0,1.0,f,West Queen Anne,Apartment,Entire home/apt,2,1,1.0,0.0,1.0,100.0,20,92.0,9.0,9.0,9.0,9.0,9.0,9.0,0.9574875829999999
48,5383192,27606550,94.88679817905918,1.0,f,West Queen Anne,House,Entire home/apt,4,2,1.0,1.0,2.0,160.0,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,0.9823979740000001
49,1112092,5856339,100.0,1.0,f,West Queen Anne,House,Entire home/apt,4,2,1.0,1.0,3.0,130.0,26,95.0,10.0,10.0,9.0,10.0,10.0,9.0,0.9687546490000001
50,7772661,40885963,100.0,1.0,f,West Queen Anne,House,Entire home/apt,2,2,1.0,0.0,1.0,99.0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9912395479999999
51,9254900,27128936,100.0,1.0,f,West Queen Anne,Apartment,Entire home/apt,2,1,1.0,0.0,1.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9776101709999999
52,7714294,3521823,94.88679817905918,2.0,f,West Queen Anne,Apartment,Entire home/apt,3,2,1.0,1.0,1.0,137.0,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9961720709999999
53,10310373,53050379,94.88679817905918,1.0,f,West Queen Anne,Apartment,Private room,3,1,1.0,1.0,1.0,20.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
54,9368342,1039322,100.0,1.0,f,West Queen Anne,Townhouse,Entire home/apt,2,2,1.5,1.0,1.0,150.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.968625665
55,6361863,25150356,100.0,1.0,f,West Queen Anne,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,145.0,44,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0.884222865
56,8105221,15155647,70.0,1.0,f,West Queen Anne,Townhouse,Private room,2,1,1.0,1.0,1.0,80.0,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9969430570000001
57,3269390,12171359,100.0,3.0,t,West Queen Anne,House,Entire home/apt,2,1,1.0,0.0,1.0,95.0,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
58,4566393,23669617,94.88679817905918,1.0,f,West Queen Anne,House,Entire home/apt,4,4,2.5,3.0,3.0,400.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.909272671
59,9282409,560743,100.0,1.0,f,West Queen Anne,House,Private room,2,1,2.0,1.0,1.0,85.0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.905914068
